T2F.Punch,T2F.X,T2F.Y,T2M.Punch,T2M.X,T2M.Y,T2Q.Punch,T2Q.X,T2Q.Y,T2R.Punch,T2R.X,T2R.Y,T2Z.Punch,T2Z.X,T2Z.Y,T2AB.Punch,T2AB.X,T2AB.Y,T2F_boundary.X,T2F_boundary.Y,T2M_boundary.X,T2M_boundary.Y,T2Q_boundary.X,T2Q_boundary.Y,T2R_boundary.X,T2R_boundary.Y,T2Z_boundary.X,T2Z_boundary.Y,T2AB_boundary.X,T2AB_boundary.Y
,,,,,,,,,,,,,,,,,,11.77624511,18.28569815,29.89354528,3.797664843,18.29150498,34.7155344,37.10562439,34.88973921,,,,
,,,,,,,,,,,,,,,,,,11.84592703,4.308665618,30.17227298,18.63410777,18.53539171,29.20543628,37.17530631,28.869221,,,,
,,,,,,,,,,,,,,,,,,12.19433665,18.22762988,30.31163682,3.797664843,18.60507364,33.89154566,37.41919304,34.06575047,,,,
,,,,,,,,,,,,,,,,,,12.26401858,4.355120233,30.59036452,18.61088046,18.77927845,30.06775009,37.45403401,29.60320393,,,,
,,,,,,,,,,,,,,,,,,12.6124282,18.18117527,30.72972837,3.797664843,18.81411941,33.06407281,37.62823882,30.29421634,,,,
,,,,,,,,,,,,,,,,,,12.68211012,4.413188503,31.00845606,18.57023268,18.91864229,31.00845606,37.62823882,33.2556981,,,,
,,,,,,,,,,,,,,,,,,13.03051974,18.09987969,31.14781991,3.838312632,18.98488699,31.90010346,37.7327617,30.93877414,,,,
,,,,,,,,,,,,,,,,,,13.10020166,4.506097735,31.4265476,18.50635758,,,37.76760266,32.38467406,,,,
,,,,,,,,,,,,,,,,,,13.44861128,17.98374315,31.56591145,3.902187729,,,37.80244363,31.67043434,,,,
,,,,,,,,,,,,,,,,,,13.5182932,4.616427447,31.80979818,18.44480521,,,,,,,,
,,,,,,,,,,,,,,,,,,13.86670282,17.85599296,31.98400299,3.983483307,,,,,,,,
,,,,,,,,,,,,,,,,,,13.93638475,4.755791295,32.26273069,18.32634594,,,,,,,,
,,,,,,,,,,,,,,,,,,14.28479437,17.68759497,32.40209454,4.1112335,,,,,,,,
,,,,,,,,,,,,,,,,,,14.35447629,4.924189277,32.68082223,18.18698209,,,,,,,,
,,,,,,,,,,,,,,,,,,14.70288591,17.49016286,32.82018608,4.250597348,,,,,,,,
,,,,,,,,,,,,,,,,,,14.77256783,5.127428221,33.09891377,18.02439094,,,,,,,,
,,,,,,,,,,,,,,,,,,15.12097745,17.25208295,33.23827762,4.424802157,,,,,,,,
